X_1,X_2,Y_1,Y_2
1018,1104,1470.0,1442.0
1074,1018,1565.0,1470.0
1018,1014,1470.0,1545.0
1018,1018,1470.0,1470.0
1104,1014,1442.0,1545.0
1104,1074,1442.0,1565.0
1018,1074,1470.0,1565.0
1014,1018,1545.0,1470.0
1003,1035,1695.0,1544.0
1074,846,1565.0,1364.0
1018,1035,1470.0,1544.0
1014,1035,1545.0,1544.0
1018,1018,1470.0,1470.0
1104,1035,1442.0,1544.0
1018,1074,1470.0,1565.0
1018,1018,1470.0,1470.0
1074,1018,1565.0,1470.0
1074,1018,1565.0,1470.0
1018,1035,1470.0,1544.0
1018,1018,1470.0,1470.0
1074,1074,1565.0,1565.0
1018,1018,1470.0,1470.0
1035,1014,1544.0,1545.0
1018,1014,1470.0,1545.0
1018,1074,1470.0,1565.0
1018,1074,1470.0,1565.0
1018,1018,1470.0,1470.0
1018,1018,1470.0,1470.0
1018,1074,1470.0,1565.0
1018,1018,1470.0,1470.0
1104,846,1442.0,1364.0
1104,1104,1442.0,1442.0
1035,1018,1544.0,1470.0
1018,1018,1470.0,1470.0
846,1014,1364.0,1545.0
1018,1003,1470.0,1695.0
1018,1018,1470.0,1470.0
1018,1018,1470.0,1470.0
1018,1074,1470.0,1565.0
1018,1014,1470.0,1545.0
1104,1104,1442.0,1442.0
1003,1035,1695.0,1544.0
1018,1014,1470.0,1545.0
1035,1018,1544.0,1470.0
1018,1035,1470.0,1544.0
1104,1014,1442.0,1545.0
1003,1014,1695.0,1545.0
1018,1074,1470.0,1565.0
1104,1074,1442.0,1565.0
1104,1018,1442.0,1470.0
1018,846,1470.0,1364.0
1018,1018,1470.0,1470.0
1018,1018,1470.0,1470.0
1035,1014,1544.0,1545.0
846,1014,1364.0,1545.0
1035,1035,1544.0,1544.0
1018,1104,1470.0,1442.0
1104,1018,1442.0,1470.0
1035,846,1544.0,1364.0
1014,1104,1545.0,1442.0
846,1018,1364.0,1470.0
1104,1074,1442.0,1565.0
1018,1104,1470.0,1442.0
1035,1018,1544.0,1470.0
1014,1014,1545.0,1545.0
1035,1014,1544.0,1545.0
1074,1003,1565.0,1695.0
1018,1035,1470.0,1544.0
1018,1018,1470.0,1470.0
1074,1035,1565.0,1544.0
1104,1018,1442.0,1470.0
