X_1,X_2,Y_1,Y_2
1058,1128,1441,1822
1064.0,1179,1548,1672
1123,994,1554,1471
1091.0,987,1743,1554
880.0,1006,1362,1595
1061,1045,1426,1458
930,898,1330,1303
927,913,1469,1441
1166,954,1708,1354
1060,1143,1475,1720
1061,1031,1670,1360
1107,901.0,1465,1399
1041.0,973,1479,1375
1036,1103,1555,1635
1103,1040,1581,1419
1150,958,1358,1327
1018,1013,1576,1524
1088,1048.0,1498,1471
939,1121.0,1481,1781
1131,1026,1758,1337
1097,971,1426,1391
1025,970,1427,1357
874,937,1319,1351
1100.0,963.0,1557,1359
1098.0,1063,1716,1528
942,905,1450,1441
1106,902.0,1828,1389
869.0,965,1455,1441
983,905,1353,1292
1035,941.0,1344,1279
991,941,1439,1288
1125,1006,1798,1417
1109,1080,1473,1459
960,1079,1531,1442
973.0,799,1373,1411
1013.0,1069,1597,1367
1044,941,1658,1400
979.0,1174,1423,1572
944,1008,1497,1465
886.0,1155,1401,1550
989,1043.0,1425,1543
1081,1112,1350,1527
1043,956,1394,1596
911,910,1457,1314
1052.0,974,1553,1652
922,959.0,1413,1402
976.0,1026,1388,1566
1017,966.0,1458,1411
930,1160,1281,1478
925.0,1072,1595,1500
934.0,1057.0,1454,1634
1207,1112,1897,1852
1092.0,986,1754,1365
959,946.0,1305,1481
1016.0,1141,1489,1358
1027,943,1342,1257
1002.0,1072.0,1352,1710
1041,1024,1448,1590
1035.0,908,1476,1510
1024,980,1444,1431
1128,968,1852,1318
1008.0,1085,1551,1794
993.0,982,1582,1518
1067,1030,1534,1320
1027,954,1456,1440
976,1041,1329,1406
1022.0,929,1575,1378
881,982,1338,1307
1086.0,979,1545,1451
1129,945,1537,1348
978,1014.0,1567,1467
1124,1154,1603,1522
1079,1056.0,1428,1465
1034,1001,1777,1501
936.0,917,1568,1480
1049,1017.0,1828,1647
946.0,901,1466,1450
1014,1015.0,1536,1504
902,970,1480,1461
1010,1085,1449,1379
1024,953,1547,1269
1090,920,1492,1497
1065,939,1586,1391
1121,948,1549,1549
1030,1015,1450,1372
1111,1051,1417,1326
1032.0,992.0,1581,1491
1043,996.0,1469,1544
892.0,1121,1294,1453
1043,1068,1648,1469
1093.0,1141,1792,1740
1073,907,1452,1508
963,1055,1333,1552
1022,1058.0,1408,1466
1027,1024,1440,1654
993,982.0,1399,1569
972.0,880,1559,1361
998,956,1375,1409
1060.0,1031,1770,1523
1102,929.0,1480,1381
1109,930,1868,1469
900,951,1332,1254
978.0,1122,1415,1485
1013,1000.0,1530,1390
1071.0,1157,1567,1535
940,1066.0,1522,1537
954,1032.0,1554,1402
895,976.0,1444,1578
977,1150,1376,1550
1094.0,990,1728,1365
1023.0,978,1461,1370
887.0,900.0,1554,1406
1110,944.0,1391,1407
1014,1050,1794,1514
984.0,978.0,1456,1396
911,928,1435,1322
1016.0,1078,1464,1434
1051,1048,1516,1523
934,925.0,1466,1387
927,1010.0,1314,1690
960,1082,1574,1474
954,943,1244,1350
993,910,1448,1281
1083.0,1212,1493,1711
1051,1048.0,1423,1489
911.0,875,1494,1357
970,1108,1297,1508
1071.0,862,1545,1473
999.0,1005.0,1492,1693
1021,1099,1515,1816
1046,890,1450,1424
1103,997,1516,1319
1030,1063.0,1541,1447
906.0,985,1372,1622
1022,962,1444,1561
977.0,1105,1555,1736
995,1031.0,1405,1501
948,899,1495,1343
1058,1152,1680,1622
880,982.0,1345,1375
900.0,1071,1487,1690
1077.0,1075,1429,1650
1048,982,1446,1547
992,1054.0,1476,1569
1080,937.0,1519,1407
1146,1097,1516,1812
1085,1043,1548,1439
1048,1085,1495,1413
1216,1055,1883,1535
1151,947,1614,1521
971,1070,1265,1447
1088.0,1014.0,1608,1413
1075.0,995.0,1474,1379
1007,955.0,1467,1592
1018.0,904,1504,1439
1006.0,870,1681,1460
896.0,1041.0,1437,1538
1069,1109,1562,1485
1120,1036,1509,1589
1151,974,1526,1460
980.0,1085.0,1515,1769
1119,927,1419,1310
982,991,1362,1526
1069.0,1046.0,1541,1422
1003.0,1048,1382,1560
1082,944,1452,1434
947,952,1289,1467
988,1011,1510,1302
1085,914,1544,1294
975.0,1009,1653,1417
930,948,1497,1359
1126,943.0,1581,1406
967.0,915,1429,1473
1152,993.0,1593,1504
968,859,1276,1312
1011.0,1085,1470,1345
917,876,1449,1357
1126,941,1818,1430
1003.0,933.0,1395,1414
984,1005,1293,1597
1123,928,1540,1433
984.0,1066,1484,1439
999,1132,1511,1748
1088,1030,1737,1420
895.0,1117,1412,1518
1029,1034.0,1446,1684
980,1078,1364,1580
927,994,1314,1530
1156,1039.0,1565,1612
1026,1119,1574,1512
1083.0,1024,1649,1520
961,1012,1489,1800
1084,953,1463,1428
1012,1089,1470,1642
984,967,1387,1339
1130,990,1522,1390
1066.0,1065.0,1412,1615
1008.0,1106.0,1658,1737
998,966.0,1536,1687
949.0,997,1417,1645
1040,934.0,1487,1425
970.0,963.0,1648,1417
