X_1,X_2,Y_1,Y_2
982,926,1475,1395
924,1086,1641,1388
1002,1228,1686,1778
1016,971,1517,1536
987,986,1552,1703
1103,981,1773,1656
1020,1140,1425,1359
961,897,1327,1648
1019,891,1661,1644
1061,987,1664,1351
925,918,1459,1352
876,929,1250,1533
932,1040,1564,1576
1049,1045,1536,1308
1151,1077,1335,1631
1136,951,1365,1314
1062,967,1682,1570
1052,1032,1486,1320
1109,933,1368,1607
844,1015,1055,1627
924,962,1318,1600
951,985,1505,1439
1043,1005,1434,1505
1073,1040,1622,1361
929,1093,1654,1768
917,1035,1453,1487
958,990,1653,1595
1016,1008,1231,1544
1105,1020,1348,1362.0
1017,1112,1501,1524
1026,969,1477,1453
1014,1011,1538,1582
1079,1008,1609,1415
1029,1046,1497,1436
1040,1065,1509,1563
1089,843,1637,1544
1082,1042,1601,1340
1048,969,1509,1500
970,924,1410,1563
951,909,1273,1305
1158,1134,1668,1594
929,869,1263,1248
963,952,1516,1351.0
1115,1079,1427,1502
1097,948,1600,1437
998,1059,1530,1604
910,1066,1225,1575
987,935,1555,1074
970,1021,1160,1738
1090,1091,1636,1453
983,957,1524,1335
982,1088,1476,1415
871,1023,1242,1445
1036,923,1631,1446
1081,990,1569,1273
956,965,1421,1264
993,971,1593,1321
1059,1015,1448,1551
1030,1002,1596,1249
942,938,1389,1327
964,1027,1567,1263
964,1029,1739,1704
934,997,1526,1611
1038,957,1313,1410
1126,1070,1466,1321
989,1013,1533,1431
951,956,1500,1690
1046,1200,1291,1664
986,934,1497,1295
921,1125,1250,1481
988,1046,1570,1444
1035,1113,1295,1389
990,979,1386,1465
1010,999,1592,1360
1076,1019,1589,1623
915,973,1312,1413
1016,1070,1597,1589
1095,960,1702,1555
913,1061,1299,1464
1024,1166,1531,1555
989,917,1275,1590
982,1026,1528,1398
1119,969,1564,1237
969,1040,1398,1497
998,861,1278,1569
1023,953,1638,1556
955,1040,1678,1573
1063,1075,1675,1556
1055,1026,1563,1430
997,999,1445,1339
1003,970,1440,1541
980,1103,1389,1595
1059,981,1484,1404
1086,1048,1300,1671
1063,972,1556,1769
1016,934,1625,1600
1126,1049,1635,1607
992,1080,1355,1625
989,1093,1453,1646
927,994,1072,1534
1027,1023,1439,1488
988,1004,1560,1527
966,1047,1346,1639
985,1003,1542,1432
1079,992,1585,1529
1089,1022,1593,1279
1091,936,1575,1312
1024,1000,1372,1575
941,946,1513,1366
972,1102,1496,1626
980,1169,1347,1594
1096,953,1568,1385
944,1048,1281,1630
938,1046,1438,1616
979,1120,1544,1657
852,955,1016,1290
1148,982,1582,1728
1076,1116,1450,1360
883,1016,1115,1320
1003,1029,1469,1569
1030,945,1591,1420.0
961,960,1223,1522
1037,954,1456,1151
1064,993,1555,1436
937,1072,1282,1562
940,1038,1495,1394
944,1159,1492,1647
967,993,1707,1540
936,970,1272,1563
996,996,1426,1352
957,1008,1574,1443
879,1009,1100,1463
1109,1011,1618,1572
1064,1056,1293,1632
1051,920,1594,1289
1018,995,1563,1623
914,954,1256,1365
1014,1101,1535,1357
979,1021,1438,1620
1022,965,1332,1531
1010,991,1650,1478
1074,1151,1453,1570
970,1089,1559,1611
1070,930,1478,1699
961,1061,1708,1488
886,1027,1097,1586
1081,1001,1635,1366
1107,1013,1382,1368
1015,1081,1573,1645
1066,1033,1528,1673
1096,1036,1677,1386
1006,970,1235,1540
945,1014,1132,1519
932,918,1482,1408
1049,968,1508,1488
1056,981,1560,1303
1078,1018,1314,1307
942,991,1257,1317
1003,1038,1315,1495
1033,989,1250,1257
1062,981,1511,1582
1076,1007,1698,1643
1000,1007,1320,1569
920,999,1265,1615
1071,1009,1697,1548
1003,984,1285,1544
924,1007,1238,1660
1046,1010,1561,1557
1043,1017,1318,1543
980,959,1554,1412
911,1076,1634,1509
969,1069,1502,1560
1017,1011,1437,1687
1070,910,1608,1312
986,1093,1435,1511
1043,1144,1430,1602
1200,1109,1480,1625
1134,897,1616,1411
952,984,1333,1379
1051,1160,1536,1443
980,967,1550,1443
1072,943,1652,1327
1044,1131,1419,1300
1029,1127,1329,1702
970,967,1534,1490
998,991,1407,1406
960,970,1560,1426
917.0,1079,1417,1397
826,992,1101,1721
1013,966,1604,1402
999,1061,1584,1689
1017,1049,1211,1510
1029,911,1381,1539
855,966,1249,1621
1078,972,1631,1462
1063,1025,1715,1692
998,1117,1246,1640
