X_1,X_2,Y_1,Y_2
866,1028,1479,1700
989,1009,1223,1543
984,924,1542,1462
955,882,1413,1545
1085,970,1659,1686
960,846,1707,1421
960,990,1473,1615
925,966,1432,1567
1147,975,1772,1398
824,1087,1290,1959
977,951,1459,1399
1005,938,1830,1484
1081,1012,1510,1634
990,1038,1323,1795
1120,1065,1792,1585
1084,958,1619,1381
1036,1177,1609,1855
1011,931,1441,1368
947,999,1516,1588
986,1036,1452,1422
1072,880,1537,1483
936,977,1574,1655
952,898,1472,1402
1006,948,1380,1504
904,1015,1381,1570
944,987,1514,1789
878,1028,1407,1544
976,981,1697,1469
964,1005,1449,1421
966,989,1391,1564
1043,954,1325,1534
1052,996,1729,1430
937,1011,1606,1407
985,972,1428,1714
878,938,1309,1763
1016,996,1381,1413
974,1030,1457,1675
986,997,1553,1396
956,993,1442,1495
981,1054,1795,1899
994,1042,1565,1624
972,888,1665,1431
997,916,1696,1299
1053,1049,1563,1398
1027,1029,1572,1574
893,998,1497,1792
927,1016,1486,1458
934,1099,1536,1788
961,945,1355,1425
1020,928,1475,1400
1016,1031,1456,1868
956,962,1770,1396
1021,1045,1546,1625
1046,1075,1382,1566
946,949,1607,1459
953,944,1467,1377
976,1059,1379,1609
1075,996,1554,1576
1090,1016,1479,1521
1022,1014,1530,1489
915,1025,1568,1404
976,1011,1897,1499
858,1107,1424,1453
995,891,1559,1286
994,1082,1748,1637
1088,1073,1540,1648
915,904,1516,1506
952,1077,1430,1657
914,962,1465,1760
1026,1030,1801,1771
1016,957,1494,1412
1007,897,1364,1459
949,969,1592,1520
983,884,1377,1430
1089,942,1534,1596
890,941,1392,1634
1066,1032,1654,1567
914,960,1464,1582
991,945,1418,1377
1006,954,1528,1464
934,1040,1537,1708
1002,1028,1579,1701
1040,901,1774,1442
983,950,1509,1435
1036,1108,1683,1739
1038,833,1357,1401
887,996,1395,1505
1076,1006,1503,1580
1037,990,1816,1372
1084,1083,1291,1596
989,923,1468,1519
1076,1038,1631,1665
970,857,1388,1450
1036,964,1835,1587
841,971,1343,1363
1069,964,1645,1366
845,894,1382,1475
960,1002,1557,1822
1070,971,1792,1488
1024,943,1524,1748
913,1070,1585,1576
987,1067,1599,1551
985,914,1510,1452
996,1033,1639,1805
1149,1029,1873,1231
1065,1009,1689,1561
992,859,1384,1422
1005,1020,1594,1420
1000,943,1457,1440
1064,1055,1607,1481
983,1007,1746,1552
801,1034,1478,1613
1038,1015,1451,1521
1015,1115,1598,1914
983,997,1385,1495
973,985,1518,1680
1110,1007,1728,1320
1116,1135,1759,1479
889,956,1448,1407
882,941,1414,1582
1112,931,1575,1588
953,1046,1620,1478
1029,1120,1824,1703
1049,947,1442,1418
940,945,1727,1572
975,1042,1588,1507
1023,1011,1725,1585
1008,1082,1299,1498
970,1069,1434,1660
1043,1030,1542,1570
1005,1017,1385,1652
1041,1058,1710,1401
1043,931,1444,1370
1038,1008,1484,1332
1004,966,1570,1597
947,880,1709,1251
1091,1151,1521,1820
903,1056,1438,1639
983,1023,1449,1473
1018,987,1695,1427
996,1046,1418,1700
962,998,1367,1593
1046,940,1324,1382
1115,1017,1744,1713
1048,969,1773,1687
1156,980,1736,1710
1010,1113,1690,1646
1129,1090,1728,1661
900,912,1451,1537
1097,961,1620,1460
1149,976,1700,1662
943,1035,1646,1526
1036,921,1677,1490
982,840,1507,1386
1007,946,1425,1374
1018,1003,1620,1715
1054,1041,1508,1716
850,1045,1348,1480
923,968,1609,1721
977,963,1645,1485
946,1112,1551,1736
899,1028,1391,1577
1022,933,1521,1328
809,993,1266,1672
970,935,1435,1337
1103,985,1699,1571
980,973,1399,1455
971,1001,1411,1457
955,940,1392,1461
959,1082,1434,1496
975,1044,1660,1393
946,1010,1426,1454
989,906,1537,1511
909,1013,1327,1490
951,1006,1629,1402
1038,1016,1665,1593
936,991,1456,1543
1001,991,1530,1622
1123,981,1696,1382
928,1002,1477,1688
1043,1008,1556,1514
1075,1060,1442,1573
1084,993,1592,1648
913,938,1310,1638
1025,941,1421,1456
1053,802,1435,1298
1049,1055,1714,1508
1019,910,1420,1351
1019,1011,1393,1432
926,952,1400,1714
1058,1074,1604,1739
1049,943,1546,1557
1047,1091,1449,1684
1027,986,1589,1434
992,944,1413,1478
1032,942,1710,1426
1011,890,1714,1431
941,1005,1488,1742
991,854,1726,1467
899,1040,1427,1494
896,1068,1491,1718
1065,928,1538,1343
1025,995,1413,1764
995,951,1233,1730
978,1023,1430,1344
931,967,1533,1603
979,1069,1448,1450
1050,926,1577,1632
921,968,1428,1504
1061,988,1600,1466
1025,1048,1367,1714
942,893,1795,1374
992,1002,1695,1499
1023,1038,1466,1565
974,965,1641,1538
971,916,1447,1423
933,972,1376,1383
925,953,1454,1577
953,1037,1602,1563
917,1097,1357,1501
972,875.0,1408,1462
1064,985,1560,1470
935,923,1642,1601
1024,1041,1727,1596
857,1032,1370,1633
1018,843,1630,1503
1015,973,1519,1400
833,968,1489,1714
1073,1024,1630,1464
1016,1033,1403,1435
1082,1004,1647,1575
1042,960,1282,1543
1003,1007,1479,1460
946,1052,1438,1652
1088,1054,1641,1558
851,953,1437,1424
950,1004,1577,1748
969,973,1441,1481
915,1003,1377,1665
979,923,1405,1469
954,1091,1633,1608
1017,939,1667,1518
982,1112,1515,1556
1026,1056,1552,1567
1062,1012,1615,1703
904,937,1394,1761
1078,960,1624,1504
991,911,1587,1487
1040,824,1491,1370
1094,973,1767,1559
943,1101,1440,1906
945,912,1472,1457
1093,1000,1623,1446
1052,1107,1826,1858
968,930,1633,1465
858,1080,1337,1651
1030,1021,1708,1642
904,889,1384,1391
1018,1021,1497,1406
1131,993,1763,1551
1118,1000,1729,1685
1145,985,1899,1316
914,994,1441,1647
932,985,1798,1554
953,1088,1768,1633
1043,889,1742,1529
1087,973,1828,1543
1057,1041,1477,1558
1016,1003,1471,1694
1074,964,1700,1589
1008,983,1273,1484
926,1045,1516,1450
1014,989,1789,1654
1116,952,1570,1487
1093,1154,1860,1901
959,935,1408,1719
930,1022,1451,1670
893,906,1418,1374
1093,1048,1918,1783
967,905,1392,1464
921,931,1535,1439
1073,1055,1485,1519
