X_1,X_2,Y_1,Y_2
957,926,1366,1338
951,942,1348,1423
1108,1006,1407,1494
1133,1095,1430,1617
1131,1001,1499,1664
1103,939,1377,1583
992,1023,1377,1174
1037,1112,1288,1787
997,971,1558,1464
991,1113,1312,1459
1134,1047,1487,1596
1080,947,1177,1551
1029,1073,1474,1645
1016,1017,1788,1326
991,916,1668,1798
979,1085,1626,1528
988,1110,1567,1501
949,928,1493,1551
970,921,1474,1420
922,1030,1461,1162
1003,1052,1544,1354
996,925,1569,1460
977,1022,1534,1365
996,1044,1795,1568
1035,1065,1150,1314
1026,941,1417,1475
999,933,1359,1460
1001,1031,1399,1518
994,1042,1187,1272
1035,1109,1300,1454
910,1042,1503,1668
1028,982,1287,1352
960,1059,1481,1532
1068,952,1569,1440
920,1047,1413,1292
1029,958,1644,1378
884,981,1477,1371
1173,1023,1537,1668
972,881,1572,1203
877,1030,1370,1506
1120,927,1791,1242
1138,1001,1477,1484
1024,893,1226,1382
978,1067,1616,1578
947,1013,1320,1691
973,1008,1437,1313
1119,1132,1481,1594
1124,968,1537,1514
936,943,1489,1650
1042,917,1347,1481
1065,1068,1559,1490
1023,977,1274,1301
996,1013,1699,1278
942,953,1473,1357
954,950,1205,1507
1124,986,1441,1537
1121,978,1811,1504
1085,1003,1312,1452
873,984,1340,1368
1112,949,1673,1356
947,1150,1465,1506
890,950,1491,1469
1077,1116,1206,1476
972,990,1327,1423
1115,1000,1459,1279
1096,917,1505,1579
1041,940,1275,1418
1091,976,1534,1412
1032,1055,1312,1317
875,935,1509,1465
984,974,1387,1819
1067,1066,1575,1761
977,935,1809,1542
996,947,1329,1420
1086,1010,1161,1367
1016,989,1600,1585
1033,1112,1317,1778
975,1008,1553,1388
1006,920,1488,1398
979,1083,1439,1372
1016,964,1284,1339
1001,1023,1511,1369
1008,987,1549,1279
1017,928,1542,1229
1128,878,1434,1427
1020,1025,1599,1387
1007,952,1340,1382
1110,1141,1473,1600
960,1101,1513,1712
997,972,1547,1373
1041,991,1350,1405
934,1071,1580,1796
898,989,1446,1451
889,977,1503,1329
876,960,1497,1686
1131,990,1359,1461
1155,881,1823,1353
1102,1174,1448,1798
949,1112,1738,1503
964,994,1469,1398
1073,977,1487,1565
949,1065,1375,1310
1009,1022,1673,1150
1086,1021,1457,1364
885,936,1359,1664
939,879,1339,1366
1011,1004,1649,1670
1039,1058,1344,1312
1042,961,1374,1406
1001,959,1403,1748
1045,1073,1240,1291
963,839,1422,1436
981,917,1447,1482
1062,1156,1529,1661
1012,1079,1464,1327
923,936,1440,1358
937,990,1441,1513
951,918,1786,1561
936,997,1429,1570
1072,944,1544,1511
1034,1058,1612,1498
979,1099,1347,1491
952,990,1340,1481
1021,1056,1618,1528
904,1071,1338,1548
1033,1032,1497,1404
1099,1107,1499,1501
1001,962,1293,1435
960,977,1413,1595
937,1003,1368,1631
1045,1016,1622,1148
938,1067,1308,1507
1107,930,1646,1799
1002,918,1514,1792
944,1083,1433,1765
952,998,1556,1774
1116,967,1523,1338
986,1042,1435,1453
985,1056,1556,1235
968,971,1361,1566
1135,953,1403,1371
1140,963,1393,1375
1127,1117,1455,1774
1074,997,1549,1616
910,1134,1460,1610
1031,965,1333,1293
953,968,1380,1398
924,956,1283,1384
1135,1065,1451,1416
929,1080,1234,1686
1000,1070,1428,1320
920,926,1361,1543
1010,1013,1263,1394
952,1019,1202,1503
935,1011,1711,1332
1013,1023,1321,1378
950,951,1378,1399
1004,962,1370,1337
1043,969,1529,1418
977,867,1772,1440
944,1024,1604,1573
916,1055,1439,1348
998,1033,1448,1337
925,877,1488,1481
950,989,1398,1276
1034,960,1239,1412
1019,987,1338,1320
1169,987,1376,1507
937,906,1458,1395
954,1021,1189,1362
1072,935,1487,1511
1001,934,1495,1557
980,974,1447,1479
917,996,1459,1414
1002,1091,1511,1478
1004,1055,1419,1720
1045,974,1579,1443
977,1029,1440,1628
985,994,1529,1516
1006,986,1309,1590
982,1160,1586,1433
1123,958,1433,1432
1117,1090,1349,1558
1017,991,1659,1530
999,1038,1595,1449
1153,1000,1372,1462
841,1074,1382,1551
955,1076,1435,1377
963,936,1531,1197
988,999,1457,1312
1086,1014,1587,1602
1027,1003,1520,1674
939,1035,1378,1227
1053,959,1528,1399
1121,916,1444,1314
1099,1011,1638,1617
937,1048,1550,1497
1100,944,1769,1345
939,841,1460,1443
919,985,1425,1386
1075,868,1438,1421
1028,1036,1341,1417
1023,1026,1408,1464
973,991,1593,1245
942,1055,1227,1578
1014,1097,1526,1757
1055,1004,1688,1316
1000,1066,1300,1545
1045,978,1524,1527
990,1145,1319,1483
948,1024,1355,1552
1168,1023,1584,1372
975,1123,1401,1470
860,990,1441,1370
1056,1024,1289,1183
1001,975,1443,1412
892,1000,1323,1498
858,939,1383,1375
1093,1033,1258,1428
1018,986,1290,1530
1126,963,1462,1483
1049,983,1535,1574
946,982,1348,1314
1005,1030,1349,1308
923,1157,1549,1443
900,1019,1413,1367
1126,977,1375,1820
1044,907,1686,1311
956,1137,1694,1475
1073,970,1484,1409
992,1041,1546,1524
968,1073,1318,1391
1024,967,1287,1628
1144,950,1434,1208
1023,1031,1454,1608
1033,1018,1283,1603
945,992,1249,1340
921,1009,1494,1659
996,985,1429,1368
1081,1068,1100,1430
962,1002,1453,1240
922,982,1475,1184
959,1057,1630,1635
997,956,1643,1522
897,1084,1446,1679
959,900,1407,1496
1105,1088,1765,1614
892,968,1341,1586
992,928,1351,1439
1065,922,1509,1507
1169,1038,1511,1784
997,974,1390,1589
1009,1047,1252,1563
