X_1,X_2,Y_1,Y_2
1012,890,1473,1184
914,1087,1366,1768
1061,961,1626,1547
1166,940,1426,1375
1019,961,1461,1561
1011,1004,1597,1493
1008,992,1422,1614
1103,1008,1736,1309
1052,931,1723,1353
1019,944,1588,1375
928,1029,1365,1789
1092,1096,1784,1637
1009,1042,1587,1673
997,857,1476,1226
834,845,1399,1239
990,969,1483,1418
1002,1031,1545,1565
1004,1048,1649,1493
918,1203,1234,1612
1016,920,1534,1177
1008,1035,1495,1429
1162,1075,1612,1268
941,866,1421,1355
1101,1100,1926,1771
959,1030,1377,1458
1061,1012,1912,1603
986,991,1644,1479
981,939,1569,1465
868,1104,1181,1697
1096,1040,1723,1594
1022,969,1665,1500
1089,1125,1814,1768
1012,1003,1483,1550
1047,1072,1582,1685
982,957,1393,1418
1016,996,1401,1556
1042,977,1485,1446
938,975,1377,1371
1026,1066,1375,1786
915,1124,1518,1549
980,1078,1434,1713
1085,987,1826,1660
893,1125,1494,1699
1025,947,1621,1436
919,956,1443,1477
1179,1036,1519,1499
1034,987,1496,1618
946,983,1470,1399
935,962,1355,1601
1027,1036,1561,1814
935,1129,1395,1820
1035,1119,1447,1657
948,1109,1429,1681
1047,904,1495,1379
1054,1109,1706,1450
969,1068,1474,1589
898,932,1354,1350
955,1152,1485,1765
957,892,1498,1339
950,994,1405,1488
1137,1095,1752,1747
1036,1057,1510,1765
1029,971,1541,1351
904,996,1372,1405
1017,1005,1462,1558
1020,1013,1484,1285
1036,978,1527,1667
1006,890,1467,1167
1097,1093,1518,1484
920,976,1403,1553
997,920,1817,1300
953,1064,1722,1565
967,1003,1412,1444
979,1028,1519,1606
1015,1094,1557,1510
1089,884,1390,1343
1009,891,1691,1422
1048,997,1666,1463
1069,1079,1720,1757
1052,956,1351,1621
1113,909,1888,1574
1081,978,1755,1616
933,1145,1358,1616
1095,1032,1656,1754
928,967,1508,1466
973,1112,1700,1651
973,1098,1391,1816
980,1059,1602,1379
987,941,1394,1369
1081,1089,1925,1611
990,1090,1637,1492
1053,1068,1624,1698
1095,957,1627,1439
1059,964,1485,1383
992,1097,1611,1739
1041,1041,1398,1386
920,988,1525,1442
1108,1044,1753,1693
898,935,1442,1542
923,1062,1429,1644
1009,1092,1646,1805
1084,1038,1680,1604
1034,1011,1534,1628
860,1207,1400,1870
1064,944,1621,1464
1073,1046,1482,1553
1107,1036,1757,1508
1109,1081,1623,1626
915,1055,1511,1693
1032,1051,1688,1817
1011,970,1528,1474
984,1014,1275,1414
880,865,1176,1354
992,924,1548,1604
1006,1083,1565,1543
969,942,1456,1479
1023,1090,1398,1766
899,1115,1426,1421
1077,1124,1822,1524
902,1094,1590,1642
954,935,1228,1559
916,991,1435,1540
1177,1109,1531,1796
979,993,1782,1344
1134,1004,1568,1484
1087,921,1766,1640
1016,914,1582,1617
996,908,1716,1157
1062,982,1505,1598
1024,931,1528,1540
1039,994,1586,1266
926,1015,1290,1510
1081,948,1772,1483
1072,975,1423,1435
845,987,1209,1763
1028,1020,1492,1554
984,1102,1596,1748
914,988,1477,1661
990,944,1508,1463
1054,1072,1582,1656
977,1099,1465,1945
942,1054,1422,1494
1030,942,1460,1461
904,949,1525,1495
956,953,1497,1469
1203,968,1632,1449
854,959,1350,1543
1012,1079,1678,1669
1028,1009,1525,1382
1037,1063,1436,1803
1082,1009,1383,1738
1102,963,1884,1570
1008,989,1554,1375
962,929,1558,1425
976,958,1474,1462
1111,972,1605,1673
986,1059,1382,1565
1096,1002,1772,1592
802,891,1414,1422
996,911,1239,1529
942,1059,1400,1654
1121,997,1516,1454
941,959,1480,1716
1020,1069,1565,1658
1034,977,1697,1608
881,1036,1357,1387
998,1100,1817,1801
920,1025,1150,1632
918,1004,1603,1537
893,1016,1580,1606
1104,1031,1634,1666
962,967,1435,1480
963,986,1290,1605
938,1109,1434,1834
987,1075,1777,1851
1052,943,1398,1520
1091,1045,1736,1584
1035,935,1733,1545
1044,938,1644,1457
1094,897,1683,1455
1066,998,1624,1669
1031,1057,1714,1572
1138,945,1758,1557
1020,1135,1792,1868
1096,1023,1488,1533
1217,906,1912,1185
1072,943,1317,1511
977,944,1482,1547
1085,1096,1383,1785
1001,952,1534,1282
1062,994,1815,1388
1007,1063,1482,1561
1047,927,1582,1471
980,1084,1448,1833
1011,957,1620,1500
1019,1053,1541,1780
1027,1025,1490,1637
985,950,1352,1474
1032,1021,1580,1555
891,1106,1226,1642
952,966,1532,1610
904,1136,1351,1703
936,1120,1516,1818
972,1022,1565,1508
1115,1101,1810,1418
1091,1150,1645,1719
1017,1052,1819,1353
1047,1139,1704,1689
1062,943,1901,1293
1044,955,1647,1304
942,991,1538,1309
1067,1037,1752,1555
1132,986,1460,1283
887,1026,1351,1309
971,1106,1450,1542
1003,823,1414,1418
946,983,1846,1754
1038,1151,1431,1414
1074,1035,1708,1815
1156,1145,1397,1749
1063,1084,1612,1926
1150,1030,1846,1529
915,1018,1414,1747
958,1051,1416,1610
910,1017,1435,1525
1053,1035,1686,1454
1012,1075,1649,1588
1069,1092,1413,1323
991,1005,1430,1641
1069,1036,1454,1466
993,941,1437,1399
995,952,1586,1575
960,910,1629,1540
1038,877,1540,1205
970,1006,1506,1468
995,947,1449,1446
986,1078,1558,1715
1020,1015,1638,1497
925,964,1513,1465
960,1006,1479,1360
1076,933,1866,1452
1056,1029,1557,1633
999,1053,1516,1628
905,1053,1557,1443
1081,962,1266,1517
1092,1023,1838,1609
1013,1036,1361,1632
1038,949,1323,1544
931,942,1391,1558
1009,1057,1377,1272
1044,991,1690,1562
1030,1010,1797,1562
949,1057,1488,1585
994,961,1449,1545
960,956,1364,1521
1033,1209,1389,1854
1079,991,1430,1570
910,1038,1438,1810
1076,922,1518,1548
1047,928,1407,1641
946,1050,1435,1603
999,962,1605,1301
1063,866,1768,1338
1019,1024,1598,1763
1002,1027,1824,1351
947,977,1622,1545
1128,1108,1570,1429
874,1075,1512,1514
968,1046,1573,1551
953,882,1509,1409
974,943,1516,1464
1004,833,1527,1411
995,947,1597,1448
948,1031,1389,1643
1106,999,1412,1560
1040,960,1698,1527
954,1094,1479,1427
980,949,1520,1303
1045,967,1402,1346
1004,1018,1760,1728
987,922,1494,1353
1064,1007,1582,1658
1002,1048,1588,1455
1060,1056,1707,1418
1033,1139,1756,1804
976,1035,1558,1368
1045,963,1555,1484
991,1053,1610,1560
1069,976,1668,1627
992,1028,1411,1373
978,1004,1389,1701
1128,874,1730,1223
982,970,1565,1343
1143,1000,1505,1579
1046,1081,1457,1568
1089,1049,1478,1454
1142,974,1661,1527
925,1028,1275,1575
997,1048,1496,1695
1003,1094,1323,1826
915,1052,1411,1604
955,1095,1492,1448
1029,1076,1548,1764
1135,1102,1769,1684
1038,1103,1490,1786
947,1081,1741,1854
957,1003,1236,1364
897,992,1342,1749
986,892,1446,1417
987,993,1425,1703
1139,1093,1780,1509
984,1002,1463,1407
933,1073,1469,1612
1061,949,1726,1502
1032,1052,1502,1408
1101,969,1763,1281
1017,1072,1786,1419
908,954,1398,1537
1080,1016,1338,1635
1078,1013,1779,1524
1015,795,1734,1436
1075,889,1728,1616
989,880,1418,1384
1057,1017,1668,1571
1036,1148,1557,1424
944,995,1453,1693
937,952,1428,1483
1012,981,1488,1338
1027,1007,1519,1592
1043,945,1516,1543
1091,1052,1474,1410
969,957,1424,1564
1019,1087,1565,1748
916,955,1380,1398
943,1068,1462,1720
1019,1066,1419,1804
1128,1015,1700,1495
1105,1022,1521,1583
1036,940,1526,1523
958,922,1566,1463
944,889,1509,1462
1027,873,1780,1340
1103,1040,1536,1606
1183,1023,1644,1595
1080,1089,1846,1587
942,973,1216,1571
1041,1066,1459,1865
1073,1110,1578,1722
987,946,1546,1531
1163,978,1624,1622
1059,936,1835,1412
1108,1089,1564,1398
905,844,1562,1225
1065,1144,1651,1710
1171,1145,1630,1862
936,938,1255,1499
950,1047,1500,1461
941,1151,1605,1640
991,977,1396,1499
899,1100,1598,1410
1054,1091,1721,1742
1111,1012,1748,1298
1000,918,1561,1429
1006,992,1605,1472
911,962,1330,1480
1001,983,1602,1594
1071,1077,1767,1834
1075,1020,1668,1597
1075,1036,1843,1661
937,965,1408,1540
1080,973,1835,1422
1012,1057,1557,1331
929,923,1577,1441
1069,1016,1505,1745
922,939,1523,1444
1100,1007,1450,1527
1055,987,1751,1560
1017,1004,1591,1357
1088,973,1688,1419
951,983,1434,1546
1045,979,1634,1463
950,876,1613,1304
1012,1162,1811,1692
970,1005,1554,1631
1065,968,1736,1739
1056,994,1774,1625
935,1008,1574,1752
880,960,1465,1584
1029,1019,1591,1769
987,970,1474,1438
1006,1180,1625,1653
1049,987,1501,1549
1020,1017,1596,1530
1057,986,1593,1472
1045,1034,1517,1556
1029,1127,1576,1932
1159,1037,1696,1670
1013,989,1404,1526
1004,939,1779,1582
984,1025,1575,1695
970,943,1557,1380
895,981,1287,1583
1010,937,1474,1358
1017,977,1653,1406
882,1006,1382,1504
903,962,1461,1301
1069,1082,1291,1383
1040,904,1414,1428
959,1056,1466,1664
1046,1058,1357,1540
892,1010,1436,1451
1149,1022,1632,1640
1086,1024,1477,1535
977,1063,1457,1715
999,959,1450,1343
898,1012,1358,1565
989,1012,1736,1679
1010,1037,1396,1390
1061,899,1578,1587
901,1003,1482,1418
997,922,1716,1398
1054,1049,1640,1659
1094,1044,1607,1567
1028,992,1579,1234
1038,1034,1622,1604
969,979,1706,1582
1049,939,1399,1551
1003,1042,1483,1797
909,1048,1470,1651
875,928,1310,1378
978,1036,1396,1630
1069,1072,1571,1272
1167,1044,1428,1630
1081,1038,1617,1522
1061,997,1550,1468
945,1008,1439,1786
1193,943,1624,1401
1107,1067,1396,1539
1052,1098,1618,1816
1110,922,1428,1486
929,1105,1471,1525
1068,953,1678,1530
994,1067,1730,1736
1081,944,1702,1391
997,984,1289,1443
1014,1099,1662,1769
930,1148,1517,1592
992,1058,1462,1644
970,1010,1643,1806
1105,865,1356,1342
958,1048,1509,1658
938,926,1386,1443
1111,1007,1753,1286
1005,940,1633,1467
927,892,1424,1479
877,960,1426,1453
972,963,1469,1454
942,884,1527,1243
940,936,1456,1632
1027,1071,1527,1775
989,969,1502,1584
1097,930,1869,1443
1058,969,1394,1554
892,1102,1185,1624
961,1011,1515,1725
1129,1058,1633,1879
947,936,1481,1456
1066,967,1715,1402
1073,905,1552,1511
987,972,1598,1450
999,1033,1587,1280
1095,1062,1478,1340
998,1032,1311,1612
981,1122,1612,1768
909,1059,1469,1652
1083,1057,1464,1614
919,1048,1424,1810
935,952,1353,1530
955,1077,1536,1743
1029,1103,1646,1673
997,1196,1437,1644
1113,1035,1757,1710
1034,976,1627,1508
1012,1011,1447,1548
918,968,1258,1444
1013,939,1669,1532
1095,1016,1761,1538
961,1088,1655,1509
957,1051,1302,1505
1021,941,1564,1530
1114,1181,1447,1615
1048,931,1576,1661
1092,1200,1586,1657
960,963,1806,1562
968,939,1366,1626
1109,1043,1728,1707
1130,1115,1709,1798
836,1059,1365,1277
1016,1078,1738,1745
895,1133,1363,1678
985,1027,1468,1440
1004,956,1253,1662
895,1074,1320,1455
1058,897,1679,1574
988,1006,1527,1794
1061,1135,1653,1636
1123,1005,1699,1354
986,1105,1574,1616
972,1020,1566,1588
1072,1024,1296,1616
989,955,1477,1437
971,1090,1499,1445
1019,1197,1471,1691
1102,935,1607,1836
1026,981,1575,1595
1093,954,1595,1570
984,1016,1567,1398
1121,989,1665,1396
1006,1049,1446,1563
1117,978,1769,1543
1110,956,1447,1511
952,884,1414,1352
1008,1040,1691,1719
1050,1000,1627,1443
1044,905,1460,1162
896,930,1557,1417
910,1026,1476,1664
1055,1051,1645,1470
964,1017,1400,1681
992,1051,1472,1699
1080,1110,1719,1681
884,1070,1621,1580
985,968,1378,1488
993,956,1541,1370
882,1049,1336,1737
1043,978,1581,1474
1070,1019,1532,1667
990,1020,1518,1815
1141,1094,1429,1802
1024,981,1781,1619
996,1070,1729,1390
1228,1051,1896,1630
992,985,1657,1607
970,1078,1582,1677
988,1059,1551,1765
976,984,1381,1290
1002,1003,1614,1252
1097,1079,1717,1704
1025,984,1410,1555
962,1018,1372,1543
904,1061,1177,1415
1020,926,1502,1422
949,1063,1371,1664
938,873,1424,1556
920,1056,1379,1623
991,1035,1635,1385
1002,937,1405,1474
1045,984,1652,1345
922,934,1558,1475
981,906,1344,1543
981,998,1236,1445
1085,952,1508,1542
970,991,1521,1620
963,1083,1566,1465
1016,1145,1520,1426
996,1127,1457,1828
924,845,1427,1228
904,851,1370,1343
960,969,1480,1294
951,984,1564,1590
1061,938,1767,1521
1045,932,1566,1415
988,1070,1495,1469
969,977,1440,1449
916,1001,1402,1435
899,967,1513,1354
1026,942,1578,1384
915,1002,1410,1529
963,1183,1464,1660
1038,1107,1664,1524
1013,972,1644,1405
973,943,1443,1551
944,990,1485,1282
886,1027,1432,1596
977,972,1590,1529
942,997,1547,1640
905,934,1377,1566
1090,851,1710,1245
1029,1025,1689,1798
1022,883,1374,1216
1004,1064,1736,1523
967,1059,1662,1481
957,885,1406,1581
965,1092,1571,1267
919,1065,1468,1564
1074,1045,1511,1441
1037,994,1630,1550
948,1076,1677,1711
1060,1051,1613,1535
950,1082,1457,1648
893,1121,1431,1411
985,954,1467,1562
1074,1055,1551,1768
1057,981,1762,1657
1087,1083,1813,1398
992,897,1395,1475
864,1062,1270,1566
935,962,1649,1520
1102,1052,1685,1650
952,1014,1484,1318
996,1064,1587,1591
1004,1015,1484,1591
1018,1011,1467,1547
1003,1010,1361,1541
995,935,1610,1613
1040,914,1415,1523
928,962,1435,1438
949,1118,1493,1575
1133,1114,1692,1589
994,910,1696,1405
940,950,1604,1464
985,978,1688,1400
853,1050,1299,1577
972,1018,1476,1594
946,1032,1555,1655
1087,931,1736,1430
893,1105,1564,1807
1104,1067,1504,1388
1008,1029,1818,1617
1072,859,1470,1222
995,1168,1753,1764
1029,1044,1528,1469
985,1077,1324,1251
1066,1076,1379,1796
991,1065,1613,1734
1003,963,1504,1577
970,964,1559,1371
1103,1061,1539,1843
995,885,1250,1405
939,968,1427,1625
1098,1035,1466,1729
1014,1011,1593,1574
1064,991,1539,1363
966,929,1425,1384
1019,1003,1750,1439
955,965,1651,1608
1010,1070,1553,1499
964,911,1581,1431
896,972,1434,1444
975,1056,1380,1617
989,1030,1336,1777
1047,960,1767,1679
1116,951,1416,1436
1087,951,1486,1467
992,1059,1525,1304
1053,1229,1541,1855
1083,1112,1262,1704
916,890,1531,1195
1021,1055,1694,1556
1127,925,1683,1438
1036,962,1719,1594
1028,1047,1580,1624
901,912,1406,1192
953,997,1612,1516
1024,1027,1483,1461
1087,1008,1670,1586
1033,1094,1634,1635
1052,931,1636,1574
1007,1041,1286,1396
1010,955,1500,1420
984,960,1477,1629
1003,1001,1461,1253
1125,937,1451,1484
913,1045,1421,1507
1051,1042,1546,1728
910,1007,1412,1629
1000,990,1549,1493
1078,944,1741,1201
966,1046,1592,1743
1037,993,1671,1593
1055,848,1629,1352
1103,1006,1648,1363
982,962,1538,1424
986,1078,1376,1509
956,920,1564,1417
972,896,1548,1426
1064,837,1554,1353
1016,1098,1721,1749
1076,983,1459,1404
1008,1096,1378,1793
1106,1047,1575,1456
976,948,1515,1290
971,1045,1494,1470
960,1018,1545,1485
966,1047,1469,1706
1162,1149,1807,1849
944,1081,1470,1616
987,922,1652,1390
1056,1009,1622,1645
931,1016,1357,1536
950,1066,1396,1624
1096,1094,1761,1772
1025,939,1599,1247
960,1057,1580,1624
867,975,1436,1555
946,1101,1585,1425
1013,1031,1545,1639
1051,962,1336,1470
1015,1034,1498,1579
847,1002,1353,1316
1117,913,1865,1373
847,910,1231,1408
1042,983,1927,1612
1019,1000,1300,1665
1100,1106,1612,1762
995,1003,1595,1483
1080,1003,1609,1278
929,950,1603,1619
1014,999,1659,1365
1099,929,1682,1432
1029,1007,1570,1457
1030,1083,1575,1771
998,841,1359,1245
957,1016,1447,1527
1076,878,1427,1452
961,916,1529,1262
881,1035,1417,1636
1040,1062,1651,1583
1064,926,1780,1525
940,1012,1600,1370
927,971,1448,1574
1046,990,1354,1739
926,963,1475,1574
1112,1086,1509,1526
1050,954,1825,1609
1100,919,1720,1573
886,971,1544,1407
1041,1035,1308,1743
904,977,1252,1684
1084,1016,1316,1395
1025,1035,1577,1549
970,1043,1562,1554
1015,1052,1473,1279
1035,873,1663,1334
1002,1031,1498,1395
1028,980,1547,1556
1082,1026,1408,1587
974,1189,1394,1631
979,916,1432,1611
826,960,1425,1500
916,1041,1361,1574
1014,1008,1600,1509
966,970,1592,1557
978,1075,1409,1602
1056,1143,1490,1735
1010,1080,1416,1609
901,1034,1395,1579
1018,1110,1569,1386
1029,991,1687,1477
1051,1059,1751,1614
1139,947,1408,1351
913,966,1422,1413
992,967,1311,1380
913,1075,1506,1638
977,1051,1525,1550
1082,951,1503,1545
991,1051,1661,1439
1053,1001,1631,1308
1060,987,1378,1676
1021,1048,1445,1379
996,1078,1281,1619
1007,885,1402,1418
1086,910,1779,1391
1032,1001,1641,1492
1063,1048,1538,1551
906,1019,1463,1650
1082,927,1736,1446
940,974,1388,1410
950,1034,1367,1616
1119,992,1911,1444
1041,962,1490,1490
971,1009,1423,1426
893,1110,1329,1534
982,986,1516,1587
893,856,1469,1336
948,1055,1382,1507
944,1089,1625,1613
1037,990,1365,1777
1021,988,1490,1553
970,1132,1519,1677
1026,978,1677,1594
1066,1015,1564,1481
945,1040,1471,1702
1015,1217,1451,1618
951,992,1457,1794
1013,945,1483,1422
935,1147,1424,1689
1057,1101,1778,1383
991,999,1529,1268
1133,881,1712,1253
919,1036,1444,1600
1088,942,1839,1282
996,971,1446,1351
1002,968,1281,1383
1047,995,1773,1615
915,1000,1372,1352
1021,1014,1682,1536
1101,998,1689,1383
971,954,1709,1452
1036,1072,1568,1558
1003,933,1441,1452
1070,946,1571,1479
1016,967,1579,1385
934,857,1457,1205
943,966,1615,1482
1040,854,1839,1353
1020,1089,1570,1337
992,946,1821,1294
1027,1105,1400,1409
1083,1002,1811,1427
1068,980,1612,1371
1019,1066,1406,1808
1031,1013,1664,1629
1033,1103,1383,1647
1070,1007,1286,1501
1005,859,1796,1227
1009,1032,1522,1313
990,929,1393,1506
1029,982,1433,1687
1092,1086,1635,1697
1118,977,1740,1587
1077,1020,1617,1516
1022,1043,1499,1593
1030,957,1458,1487
963,918,1480,1382
885,1089,1610,1719
992,995,1568,1464
938,954,1413,1563
1032,1027,1582,1390
932,1030,1275,1573
1063,963,1398,1583
1049,896,1609,1474
1108,1016,1804,1583
1046,1102,1779,1456
1033,1004,1468,1591
952,949,1561,1479
975,958,1388,1569
925,974,1617,1565
1042,937,1526,1498
1121,1044,1762,1731
1004,1087,1308,1468
954,1045,1358,1745
962,1120,1252,1862
1092,971,1873,1609
1009,908,1516,1453
975,964,1376,1450
1099,1039,1653,1810
1049,1063,1630,1604
981,1148,1341,1648
927,1089,1467,1764
988,1173,1466,1654
950,1102,1538,1624
1024,1099,1659,1478
1007,871,1393,1356
934,1044,1609,1318
936,1036,1563,1729
1003,1037,1334,1741
995,932,1553,1609
1019,1034,1703,1596
1099,1087,1766,1770
1090,1021,1722,1599
945,985,1491,1382
1070,940,1545,1557
1043,952,1578,1408
953,1032,1685,1493
1029,938,1416,1541
1085,1039,1756,1645
1093,1016,1577,1580
1023,1010,1596,1388
944,963,1485,1631
902,892,1157,1257
891,1073,1456,1547
1083,1028,1804,1513
1003,1008,1561,1453
1121,1022,1803,1756
963,1092,1491,1403
1011,969,1639,1439
957,957,1610,1390
1014,982,1434,1332
1083,963,1715,1606
980,1048,1419,1682
999,1087,1524,1693
909,1013,1442,1287
1022,994,1434,1245
1131,1022,1725,1603
968,1007,1467,1735
934,1066,1419,1701
985,1096,1442,1506
1026,1023,1540,1689
1038,1037,1672,1831
962,1064,1413,1743
941,1053,1470,1483
1109,1001,1665,1520
965,1075,1526,1562
907,1135,1400,1750
909,1006,1488,1738
1113,1107,1750,1622
942,1035,1818,1692
974,935,1406,1483
1011,941,1456,1369
1004,993,1638,1521
994,1070,1462,1869
967,975,1596,1606
943,1085,1608,1635
1097,1053,1460,1521
1099,887,1316,1398
976,908,1426,1353
965,983,1559,1355
958,917,1568,1337
969,1033,1431,1645
1030,1070,1488,1805
1000,1063,1655,1646
999,930,1579,1430
1015,938,1672,1465
893,943,1496,1561
955,958,1406,1572
986,1121,1444,1735
1018,1180,1586,1630
956,1083,1581,1389
