X_1,X_2,Y_1,Y_2
1047,898,1645,1539
1025,1077,1613,1637
982,937,1608,1310
1012,1050,1317,1653
981,960,1487,1492
992,1011,1598,1715
1043,876,1451,1452
1026,1085,1511,1741
1071,971,1444,1500
1091,1043,1533,1495
1119,1072,1486,1416
1101,1050,1588,1570
1029,1014,1434,1489
963,1190,1429,1640
1076,1009,1759,1498
1003,1076,1661,1456
1063,1161,1604,1644
981,1083,1656,1735
829,980,1254,1657
1183,1120,1788,1515
971,1067,1508,1794
1053,890,1586,1476
953,1027,1498,1597
1037,1120,1240,1791
1111,984,1648,1500
1001,1199,1618,1648
962,895,1412,1420
1151,1002,1649,1696
1029,1042,1355,1677
976,988,1487,1460
1102,1079,1698,1706
1064,978,1694,1508
1030,1036,1480,1426
892,961,1309,1386
947,1102,1382,1712
929,1059,1738,1596
1087,961,1793,1538
1025,1013,1453,1354
800,1062,1354,1641
910,1055,1269,1416
979,990,1473,1540
931,1008,1368,1545
1095,980,1478,1420
1015,1059,1512,1214
1119,1200,1611,1768
944,992,1510,1505
958,1047,1563,1485
960,926,1571,1387
997,1018,1524,1592
1013,933,1457,1335
908,1086,1333,1802
968,1043,1329,1592
930,1062,1271,1750
1071,982,1529,1302
1020,948,1544,1432
1001,938,1676,1453
967,1020,1403,1458
1055,1076,1742,1748
983,1073,1512,1661
955,1061,1510,1462
868,1047,1423,1656
917,1098,1541,1580
952,1031,1498,1608
1024,963,1516,1427
892,938,1490,1649
983,1040,1355,1544
1045,974,1740,1377
931,1084,1626,1792
950,925,1469,1535
994,983,1466,1354
946,968,1370,1440
1101,1038,1533,1675
1057,1046,1665,1583
987,1097,1679,1719
933,963,1522,1407
875,873,1455,1403
854,988,1375,1398
1036,1004,1571,1499
995,980,1558,1511
912,999,1636,1578
1013,948,1401,1561
1027,1021,1457,1736
961,930,1455,1446
1067,903,1597,1290
1016,1014,1506,1405
995,1065,1515,1585
913,1080,1403,1621
1106,979,1732,1333
1070,954,1510,1687
926,982,1448,1360
920,939,1382,1635
963,1015,1390,1586
973,1023,1710,1414
930,1051,1475,1705
1065,940,1624,1320
1090,1110,1433,1595
897,903,1492,1317
944,1010,1552,1478
1020,1021,1630,1311
1055,1006,1751,1604
1025,1046,1476,1480
877,955,1418,1572
961,899,1514,1526
1059,914,1195,1419
1013,1083,1765,1767
851,889,1406,1538
990,1063,1513,1593
1174,1009,1675,1443
989,1149,1458,1392
1133,988,1570,1521
955,1187,1479,1635
1048,935,1617,1563
1050,890,1667,1391
1027,1035,1422,1509
1005,1064,1563,1489
920,1103,1560,1456
1045,997,1473,1427
984,1058,1492,1455
1075,1049,1643,1756
984,986,1454,1423
1034,1042,1509,1481
901,806,1436,1332
962,952,1465,1444
991,923,1487,1368
893,1018,1555,1692
1097,1032,1360,1702
1067,1079,1496,1750
988,1077,1603,1511
1002,966,1554,1364
962,932,1612,1561
1024,1070,1543,1583
