generation,X,Y,Total_C
306,1141,1389,0
307,1177,1665,0
308,1017,1234,0
309,1150,1507,0
310,924,1374,0
311,1143,1711,0
312,1163,1444,0
313,1141,1343,0
314,860,1366,0
315,1223,1425,0
316,1049,1698,0
317,1021,1499,0
318,1142,1587,0
319,1192,1379,0
320,1036,1309,0
321,1174,1748,0
322,1131,1723,0
323,1093,1250,0
324,1189,1634,0
325,1107,1325,0
326,1227,1751,0
327,1152,1478,0
328,1133,1549,0
329,1034,1434,0
330,1172,1458,0
331,983,1627,0
332,1183,1788,0
333,1084,1939,0
334,1054,1532,0
335,1022,1730,0
336,1122,1526,0
337,1048,1622,0
338,1196,1893,0
339,1003,1516,0
340,1157,1948,0
341,1030,1613,0
342,993,1493,0
343,1200,1494,0
344,1093,1454,0
345,932,1540,0
346,1016,1576,0
347,953,1688,0
348,1056,1688,0
349,1048,1629,0
350,1042,1931,0
351,1169,1769,0
352,1032,1937,0
353,932,1461,0
354,964,1604,0
355,1075,1560,0
356,1029,1692,0
357,1075,1774,0
358,1107,1512,0
359,982,1590,0
360,1052,1364,0
361,1009,1649,0
362,1019,1612,0
363,1046,1569,0
364,1050,1868,0
365,1066,1972,0
366,1062,1828,0
367,1054,1571,0
368,1118,1810,0
369,922,1742,0
370,875,1470,0
371,1223,1849,0
372,1056,1679,0
373,1017,1754,0
374,956,1681,0
375,1023,1454,0
376,972,1321,0
377,1147,2120,0
378,967,1566,0
379,1041,1743,0
380,1080,1531,0
381,1038,1776,0
382,1201,1859,0
383,923,1625,0
384,986,1531,0
385,1152,1834,0
386,907,1548,0
387,1039,1507,0
388,1118,1590,0
389,1026,1785,0
390,1015,1630,0
391,1089,1770,0
392,1104,1614,0
393,995,1650,0
394,921,1321,0
395,1118,1813,0
396,942,1491,0
397,1082,1671,0
398,1069,1580,0
399,1033,1513,0
400,985,1414,0
401,1053,1747,0
402,960,1470,0
403,927,1231,0
404,958,1674,0
405,967,1579,0
406,1073,1581,0
407,1023,1583,0
408,964,1541,0
409,975,1564,0
410,837,1663,0
411,1052,1531,0
412,940,1514,0
413,1028,1344,0
414,1000,1491,0
415,1020,1771,0
416,1008,1779,0
417,825,1371,0
418,961,1506,0
419,1025,1468,0
420,992,1881,0
421,781,1516,0
422,986,1639,0
423,1020,1577,0
424,947,1424,0
425,894,1399,0
426,1084,1444,0
427,1007,1390,0
428,974,1414,0
429,1015,1513,0
430,1026,1599,0
431,1054,1298,0
432,928,1472,0
433,1040,1782,0
434,950,1430,0
435,982,1355,0
436,880,1641,0
437,967,1551,0
438,1001,1707,0
439,913,1444,0
440,998,1406,0
441,1044,1620,0
442,928,1702,0
443,1039,1444,0
444,932,1694,0
445,953,1383,0
446,1000,1534,0
447,904,1591,0
448,1037,1522,0
449,895,1259,0
450,1010,1471,0
451,854,1473,0
452,1051,1447,0
453,952,1537,0
454,949,1485,0
455,942,1317,0
456,976,1602,0
457,1039,1566,0
458,1089,1272,0
459,946,1501,0
460,1006,1649,0
461,918,1495,0
462,962,1521,0
463,1039,1575,0
464,976,1482,0
465,1045,1625,0
466,989,1492,0
467,977,1408,0
468,990,1357,0
469,912,1382,0
470,905,1439,0
471,893,1267,0
472,916,1449,0
473,930,1439,0
474,999,1613,0
475,1078,1726,0
476,1116,1468,0
477,983,1426,0
478,897,1368,0
479,929,1396,0
480,984,1388,0
481,935,1274,0
482,950,1612,0
483,1006,1494,0
484,1046,1683,0
485,1021,1542,0
486,1027,1798,0
487,971,1453,0
488,1041,1434,0
489,1018,1521,0
490,960,1333,0
491,1050,1441,0
492,1008,1616,0
493,1039,1554,0
494,1027,1524,0
495,1060,1307,0
496,926,1284,0
497,936,1398,0
498,1054,1617,0
499,1061,1647,0
500,1085,1557,0
501,1006,1377,0
502,1010,1501,0
503,1024,1435,0
504,916,1386,0
505,1031,1469,0
506,1074,1617,0
507,1089,1674,0
508,954,1406,0
509,1060,1670,0
510,980,1467,0
511,1031,1639,0
512,989,1428,0
513,1070,1474,0
514,1027,1654,0
515,1080,1561,0
516,964,1425,0
517,1063,1462,0
518,1060,1465,0
519,1042,1574,0
520,1018,1464,0
521,933,1143,0
522,1017,1611,0
523,1032,1466,0
524,992,1596,0
525,1047,1537,0
526,948,1358,0
527,936,1458,0
528,1061,1745,0
529,1002,1640,0
530,1089,1722,0
531,1021,1567,0
532,1013,1521,0
533,916,1708,0
534,1024,1409,0
535,1014,1615,0
536,1019,1235,0
537,961,1429,0
538,1005,1617,0
539,978,1418,0
540,1046,1583,0
541,998,1579,0
542,953,1571,0
543,985,1524,0
544,916,1335,0
545,972,1334,0
546,913,1330,0
547,947,1340,0
548,1070,1564,0
549,1150,1723,0
550,988,1582,0
551,1048,1627,0
552,935,1541,0
553,1068,1600,0
554,871,1409,0
555,1025,1845,0
556,952,1573,0
557,1012,1521,0
558,1004,1540,0
559,940,1478,0
560,1042,1540,0
561,941,1177,0
562,1040,1474,0
563,1043,1653,0
564,1034,1697,0
565,914,1342,0
566,964,1389,0
567,970,1555,0
568,1001,1448,0
569,980,1752,0
570,1015,1486,0
571,1002,1565,0
572,1115,1624,0
573,962,1493,0
574,993,1501,0
575,1088,1833,0
576,954,1466,0
577,988,1385,0
578,965,1418,0
579,1060,1595,0
580,916,1677,0
581,1005,1417,0
582,951,1280,0
583,957,1393,0
584,986,1367,0
585,882,1378,0
586,1117,1791,0
587,1108,1718,0
588,938,1568,0
589,1007,1415,0
590,1171,1728,0
591,841,1667,0
592,1080,1650,0
593,977,1249,0
594,1022,1581,0
595,959,1492,0
596,1060,1631,0
597,801,1406,0
598,1135,1584,0
599,985,1468,0
600,922,1349,0
601,959,1736,0
602,946,1257,0
603,952,1627,0
604,994,1441,0
605,995,1606,0
606,1028,1452,0
607,1074,1641,0
608,1034,1732,0
609,956,1574,0
610,961,1330,0
611,1030,1587,0
612,969,1542,0
613,1122,1470,0
614,1020,1651,0
615,1034,1405,0
616,981,1241,0
617,1014,1638,0
618,988,1333,0
619,1060,1636,0
620,953,1468,0
621,990,1464,0
622,861,1508,0
623,1060,1633,0
624,1106,1639,0
625,941,1609,0
626,993,1733,0
627,924,1558,0
628,1018,1404,0
629,1146,1743,0
630,945,1382,0
631,998,1681,0
632,951,1278,0
633,989,1318,0
634,1054,1485,0
635,945,1293,0
636,1124,1554,0
637,965,1521,0
638,1035,1417,0
639,940,1394,0
640,1120,1344,0
641,1062,1575,0
642,1092,1610,0
643,994,1666,0
644,949,1513,0
645,1003,1359,0
646,1039,1404,0
647,952,1383,0
648,1046,1720,0
649,1043,1774,0
650,1012,1581,0
651,957,1518,0
652,1099,1741,0
653,968,1415,0
654,1010,1650,0
655,823,1233,0
656,966,1396,0
657,976,1396,0
658,973,1718,0
659,1004,1560,0
660,998,1566,0
661,934,1463,0
662,981,1210,0
663,1014,1498,0
664,973,1378,0
665,1036,1573,0
666,973,1578,0
667,882,1366,0
668,961,1423,0
669,886,1520,0
670,1090,1526,0
671,1002,1748,0
672,874,1210,0
