time,x,y
0.0,0.4,0.4
100.00246539543605,0.79,0.65
200.00192615923726,0.764,0.564
300.00229687651995,0.82,0.51
400.00032483810514,0.664,0.486
500.00052599496524,0.73,0.514
600.0053942943218,0.802,0.6
700.0012945526775,0.694,0.414
800.0080705509732,0.894,0.632
900.0018361489889,0.79,0.564
1000.0107787811322,0.58,0.432
1100.0027584679544,0.846,0.612
1200.0041194149421,0.762,0.444
1300.0030037433094,0.684,0.432
1400.001332465521,0.862,0.392
1500.0001446264278,0.868,0.408
1600.0009248832039,0.622,0.482
1700.0000589447159,0.65,0.482
1800.0045187153773,0.69,0.604
1900.0007957101805,0.926,0.766
2000.0054466342742,0.784,0.532
2100.0020820894997,0.798,0.446
2200.0044159854065,0.714,0.61
2300.0031111099343,0.722,0.472
2400.0007868583375,0.866,0.68
2500.007533537576,0.68,0.434
2600.001127123542,0.736,0.552
2700.0012142971536,0.726,0.522
2800.0038004124062,0.752,0.532
2900.000311101217,0.96,0.576
3000.0030177145672,0.626,0.4
3100.0029566260546,0.702,0.446
3200.003053538392,0.588,0.462
3300.0003120328847,0.622,0.526
3400.0013957672113,0.734,0.56
3500.0020473175236,0.8,0.608
3600.0018317454224,0.832,0.526
3700.0004472346614,0.844,0.522
3800.0009777284604,0.738,0.548
3900.002345946065,0.74,0.518
4000.0000964836013,0.728,0.554
4100.000865020051,0.688,0.316
4200.003543259079,0.68,0.49
4300.000903611351,0.704,0.496
4400.001498083698,0.77,0.668
4500.002759967548,0.714,0.402
4600.004853089339,0.722,0.456
4700.001118109448,0.824,0.578
4800.0012885843935,0.676,0.402
4900.000178011307,0.796,0.752
5000.004865731439,0.63,0.378
5100.003836745224,0.61,0.526
5200.005966652376,0.798,0.842
5300.011077921799,0.706,0.406
5400.006990615488,0.826,0.636
5500.002499449283,0.722,0.554
5600.00162498969,0.704,0.46
5700.000269171442,0.59,0.384
5800.001783691326,0.652,0.51
5900.00033331804,0.794,0.434
6000.001600695927,0.8,0.42
6100.0053997308,0.83,0.652
6200.007078278499,0.718,0.476
6300.00009334869,0.752,0.444
6400.000685211829,0.666,0.386
6500.000812975244,0.698,0.374
6600.001403225291,0.856,0.534
6700.0049014735005,0.78,0.496
6800.001335279952,0.768,0.68
6900.006829576582,0.654,0.57
7000.001211033343,0.716,0.602
7100.002639897038,0.632,0.354
7200.0038992837535,0.86,0.372
7300.00350335175,0.794,0.484
7400.00282276122,0.758,0.638
7500.00016162564,0.754,0.548
7600.000167216954,0.714,0.658
7700.009375231714,0.83,0.518
7800.000589276438,0.74,0.454
7900.0085926967195,0.708,0.53
8000.001731599657,0.624,0.494
8100.00147594405,0.764,0.508
8200.001138735895,0.756,0.678
8300.001117325432,0.726,0.568
8400.000244109551,0.678,0.41
8500.001261177178,0.95,0.672
8600.010368136713,0.642,0.496
8700.002379256595,0.746,0.518
8800.002268701188,0.812,0.63
8900.00033670346,0.862,0.568
9000.001168689341,0.582,0.438
9100.003051928388,0.772,0.576
9200.009479408787,0.534,0.462
9300.000226496324,0.816,0.484
9400.001672940716,0.804,0.59
9500.003303529335,0.712,0.532
9600.000514025696,0.79,0.64
9700.003288314847,0.84,0.624
9800.002058385608,0.8,0.506
9900.003795504463,0.59,0.286
10000.000154484884,0.74,0.392
10100.001069347943,0.842,0.516
10200.001916073854,0.594,0.364
10300.001226005237,0.906,0.65
10400.000680877121,0.77,0.464
10500.00380637184,0.846,0.526
10600.00045116678,0.79,0.492
10700.00265338654,0.756,0.526
10800.003768610532,0.728,0.412
10900.001104491172,0.74,0.632
11000.000838883057,0.662,0.324
11100.003073243988,0.804,0.47
11200.000609194616,0.628,0.432
11300.00094736111,0.784,0.552
11400.00235879969,0.744,0.506
11500.002300034334,0.7,0.576
11600.00016407846,0.668,0.506
11700.000494205715,0.898,0.572
11800.003313027839,0.716,0.382
11900.001105971514,0.826,0.534
12000.004021766988,0.676,0.34
12100.001163410028,0.906,0.544
12200.005093326095,0.872,0.468
12300.010436220098,0.71,0.66
12400.000394972612,0.738,0.584
12500.000935194457,0.818,0.55
12600.001449707079,0.808,0.504
12700.00085019789,0.696,0.5
12800.00022067943,0.812,0.67
12900.000283348156,0.836,0.432
13000.000934436453,0.678,0.37
13100.00018893432,0.602,0.402
13200.017394128028,0.578,0.372
13300.003489524272,0.622,0.332
13400.001652184816,0.854,0.434
13500.005925656193,0.714,0.532
13600.007684300277,0.652,0.438
13700.006766178938,0.71,0.458
13800.000550195939,0.688,0.46
13900.003202849985,0.79,0.44
14000.001604105313,0.78,0.706
14100.000391613969,0.794,0.498
14200.002669857924,1.024,0.764
14300.004366218793,0.828,0.35
14400.000794705518,0.644,0.356
14500.001716832376,0.798,0.486
14600.001891036783,1.014,0.426
14700.001140441822,0.684,0.306
14800.000502319697,0.632,0.476
14900.000149379191,0.712,0.472
15000.001025212585,0.698,0.528
15100.000698526785,0.676,0.436
15200.001471422818,0.79,0.566
15300.005362742193,0.852,0.618
15400.003288292346,0.858,0.494
15500.003463115725,0.684,0.4
15600.000079582387,0.86,0.586
15700.00066464918,0.742,0.524
15800.002750384392,0.66,0.498
15900.000206512144,0.744,0.464
16000.004179679434,0.73,0.504
16100.001391358104,0.764,0.456
16200.00544333206,0.664,0.442
16300.001412899393,0.87,0.536
16400.000382539263,0.748,0.48
16500.00031000805,0.714,0.436
16600.000560272125,0.692,0.424
16700.001998201722,0.934,0.76
16800.00128532446,0.678,0.43
16900.004234396867,0.766,0.472
17000.005094606502,0.8,0.448
17100.000554880586,0.796,0.522
17200.002366409302,0.848,0.498
17300.00424005503,0.758,0.466
17400.00100432461,0.712,0.556
17500.00631463793,0.556,0.43
17600.00101550056,0.864,0.532
17700.003370457296,0.676,0.496
17800.00431792386,0.706,0.386
17900.000223715837,0.782,0.566
18000.00083570289,0.66,0.53
18100.002775789177,0.722,0.444
18200.004585883027,0.964,0.422
18300.00007142875,0.784,0.578
18400.00091588429,0.658,0.508
18500.00025668917,0.688,0.434
18600.000257816184,0.666,0.466
18700.00337296688,0.724,0.63
18800.00666295025,0.68,0.406
18900.000157234583,0.65,0.476
19000.000208901314,0.882,0.334
19100.00625729705,0.782,0.4
19200.00618601142,0.698,0.458
19300.003019810818,0.822,0.55
19400.002481202217,0.722,0.374
19500.00196806713,0.93,0.458
19600.000433543628,0.79,0.394
19700.000352058225,0.634,0.386
19800.0006906624,0.6,0.56
19900.0024334773,0.758,0.456
20000.00048104553,0.686,0.33
20100.0007800234,0.762,0.656
20200.000557829862,0.72,0.512
20300.00050799587,0.862,0.512
20400.01195423551,0.868,0.398
20500.001030056457,0.774,0.682
20600.001639374277,0.65,0.452
20700.013237261268,0.746,0.5
20800.00177491996,0.612,0.616
20900.0007733915,0.846,0.404
21000.002134045535,0.644,0.448
21100.002968423305,0.79,0.7
21200.00211404117,0.824,0.512
21300.01369279295,0.75,0.534
21400.002514792995,0.748,0.454
21500.000133908925,0.584,0.386
21600.003078934224,0.698,0.472
21700.000867684106,0.912,0.488
21800.000293004985,0.746,0.532
21900.00293680671,0.692,0.376
22000.00338139184,0.816,0.404
22100.002171711658,0.634,0.492
22200.00287123315,0.634,0.398
22300.000380615067,0.754,0.378
22400.000444993635,0.648,0.462
22500.003742715842,0.594,0.41
22600.00018791634,0.762,0.476
22700.000161169974,0.83,0.428
22800.000150270673,0.824,0.38
22900.00213864919,0.756,0.496
23000.00204619301,0.858,0.366
23100.002075177734,0.762,0.488
23200.008279090518,0.684,0.464
23300.004666557033,0.772,0.618
23400.004141222635,0.73,0.328
23500.006839734655,0.79,0.374
23600.003794012875,0.578,0.372
23700.004257865137,0.732,0.562
23800.000171732114,0.922,0.562
