time,x,y
0.0,0.4,0.4
100.00348586066086,0.674,0.882
200.0014107097901,0.724,0.814
300.0022178672907,0.644,0.63
400.0015710829721,0.752,0.968
500.00381909312244,0.68,0.894
600.0006823758172,0.782,0.864
700.0034474444315,0.792,0.792
800.0000129205968,0.874,0.924
900.0027212555706,0.828,0.766
1000.0005378431056,0.8,0.954
1100.0010773580984,0.652,0.876
1200.0001864313733,0.622,0.808
1300.0018436208215,0.724,0.886
1400.0004348553389,0.814,0.822
1500.000249340918,0.782,0.81
1600.0014203319754,0.598,0.714
1700.001872144811,0.758,0.838
1800.000325700045,0.724,0.828
1900.0001731997854,1.008,0.79
2000.0032840982708,0.944,0.856
2100.0031948411593,0.64,0.938
2200.001721241578,0.834,0.988
2300.0028941413884,0.852,0.9
2400.0126433781534,0.75,0.866
2500.006088400962,0.75,1.0
2600.0006291267086,0.69,0.866
2700.0006981157703,0.588,0.732
2800.00138655959,0.744,0.85
2900.0006093694406,0.85,1.05
3000.001155664547,0.822,0.832
3100.000425519448,0.806,0.886
3200.0032802038727,0.81,0.93
3300.0071783888866,0.802,0.968
3400.0024330999827,0.834,0.75
3500.0006756021185,0.786,0.842
3600.000974117608,0.872,1.034
3700.0011395382144,0.752,0.882
3800.003877816103,0.774,0.924
3900.000299012393,0.794,0.868
4000.0004107914847,0.69,0.88
4100.002112738277,0.79,0.988
4200.000494850199,0.894,0.912
4300.0022324431475,0.608,0.828
4400.0004979305295,0.81,0.998
4500.002152261892,0.754,0.986
4600.002659100551,0.874,0.8
4700.000494617376,0.862,0.958
4800.000349114538,0.69,0.704
4900.000962764906,0.778,0.848
5000.0005858650775,0.702,0.67
5100.0046317269425,0.71,0.916
5200.002705026997,0.618,0.864
5300.001033401464,0.802,0.892
5400.001544048862,0.848,1.076
5500.002887864079,0.868,1.032
5600.001431755227,0.904,0.922
5700.002819693211,0.7,0.906
5800.001425725187,0.666,0.972
5900.000061225539,0.718,0.814
6000.000119384568,0.718,0.78
6100.001358367953,0.742,0.798
