time,x,y
0.0,0.4,0.4
100.00283034401238,0.764,0.764
200.0004884760255,0.662,0.584
300.00089243817416,0.712,0.472
400.00475895802697,0.676,0.568
500.0006920561251,0.748,0.57
600.0013381838743,0.778,0.73
700.0038320328806,0.73,0.688
800.0109642236706,0.888,0.8
900.0001943010465,0.754,0.806
1000.0028335715764,0.68,0.584
1100.0038968219917,0.728,0.64
1200.0006540856687,0.962,0.702
1300.0038347933375,0.764,0.692
1400.00051850806,0.764,0.65
1500.0009011589548,0.888,0.724
1600.0005867245352,0.912,1.06
1700.0010737155421,0.796,0.676
1800.0045953946264,0.864,0.62
1900.0004655472471,0.754,0.658
2000.0016352917207,0.708,0.642
2100.001202145102,0.642,0.626
2200.000441270856,0.772,0.646
2300.0023495713035,0.876,0.908
2400.0018931623617,0.834,0.828
2500.0006122082427,0.742,0.78
2600.001623988707,0.712,0.73
2700.002405506069,0.73,0.778
2800.0008325369263,0.848,0.692
2900.000891166425,0.87,0.738
3000.000297615988,0.626,0.554
3100.0012369574656,0.708,0.578
3200.0024548924016,0.828,0.97
3300.001602537721,0.872,0.752
3400.004808500128,0.716,0.866
3500.0046497124936,0.794,0.69
3600.002769195169,0.83,0.94
3700.0044074856737,0.852,0.61
3800.0031436991726,0.582,0.466
3900.0027659291895,0.624,0.504
4000.000266724236,0.768,0.592
4100.001785919488,0.708,0.754
4200.004033323504,0.732,0.572
4300.001570783614,0.622,0.706
4400.000322378088,0.618,0.614
4500.005075825937,0.682,0.576
4600.00193218784,0.696,0.522
4700.01005655431,0.772,0.626
4800.002266495588,0.798,0.502
4900.008133266885,0.766,0.84
5000.002514663747,0.766,0.656
5100.000286472429,0.682,0.64
5200.001613230592,0.872,0.698
5300.00002807999,0.88,0.86
5400.000681443738,0.732,0.746
5500.001673232133,0.696,0.658
5600.000680499094,0.708,0.614
5700.00257648392,0.726,0.58
5800.003077975894,0.664,0.74
5900.005814095413,0.682,0.594
6000.000832194405,0.67,0.692
6100.000610406257,0.698,0.528
6200.001183707185,0.666,0.728
6300.004135301587,0.762,0.62
6400.006526920699,0.71,0.646
6500.0012543061175,0.628,0.686
6600.001104716204,0.784,0.814
6700.001276657128,0.754,0.594
6800.002623341991,0.74,0.794
6900.003425763597,0.778,0.622
7000.000941879927,0.818,0.62
7100.00353596108,0.652,0.612
7200.003113463048,0.808,0.694
7300.000702188676,0.744,0.632
7400.000404063498,0.794,0.842
7500.003604877291,0.582,0.586
7600.001488047908,0.752,0.628
7700.001407472665,0.712,0.544
7800.001089385062,0.824,0.684
7900.0058818905245,0.742,0.654
8000.003836504138,0.708,0.614
8100.0006167534575,0.774,0.766
8200.010574844111,0.624,0.708
8300.000534986928,0.684,0.728
8400.00401555683,0.81,0.718
8500.000902873677,0.74,0.656
8600.0044274383,0.704,0.674
8700.000519773872,0.708,0.794
8800.000190581884,0.834,0.618
8900.003292654676,0.962,0.734
9000.000829216455,0.722,0.502
9100.000002483817,0.716,0.662
9200.002563538255,0.82,0.786
9300.001840535297,0.766,0.862
9400.018262630247,0.728,0.818
9500.004787667332,0.708,0.666
9600.000612577991,0.632,0.684
9700.001428950653,0.688,0.696
9800.008838859661,0.664,0.652
9900.002473761308,0.724,0.786
10000.00166010709,0.77,0.842
10100.003111341073,0.718,0.776
10200.006147989896,0.72,0.694
10300.00380414106,0.736,0.592
10400.000378346558,0.706,0.722
10500.002130411396,0.766,0.562
10600.001314395886,0.698,0.772
10700.002508897487,0.762,0.7
10800.000264410693,0.706,0.496
10900.007944853342,0.762,0.73
11000.00091493705,0.84,0.77
11100.003226577961,0.68,0.686
11200.000396624737,0.78,0.652
11300.00162602235,0.804,0.704
11400.00194923351,0.676,0.538
11500.00269339117,0.814,0.796
11600.000701010138,0.678,0.55
11700.00056934332,0.868,0.76
11800.00015258003,0.848,0.754
11900.006814909162,0.8,0.636
12000.002119057863,0.69,0.794
12100.006387645684,0.724,0.688
12200.001358769834,0.818,0.8
12300.001238083205,0.572,0.744
12400.00167321171,0.788,0.688
12500.000039832776,0.794,0.682
12600.0075878013,0.76,0.744
12700.000384565461,0.724,0.714
12800.00287444844,0.634,0.678
12900.003518787646,0.706,0.822
13000.001198510517,0.806,0.85
13100.001831025562,0.732,0.796
13200.000439497839,0.762,0.784
13300.010325260459,0.846,0.742
13400.000256691983,0.836,0.75
13500.000283435835,0.754,0.586
13600.007532497066,0.642,0.778
13700.000192489848,0.744,0.812
13800.00562231616,0.664,0.662
13900.00106919027,0.782,0.668
14000.00267651359,0.708,0.784
14100.003841324886,0.742,0.754
14200.00164634567,0.74,0.692
14300.000502964767,0.844,0.788
14400.001003653448,0.678,0.776
14500.011338492028,0.886,0.874
14600.002148521053,0.696,0.67
14700.000561873114,0.636,0.564
14800.000443279821,0.766,0.63
14900.000011172553,0.778,0.794
15000.001107016657,0.798,0.612
15100.005796621246,0.622,0.688
15200.002711884285,0.614,0.67
15300.001724242384,0.664,0.636
15400.001924866872,0.714,0.678
15500.011371456205,0.832,0.754
15600.004971037333,0.812,0.676
15700.0032446832,0.672,0.616
15800.001094719686,0.824,0.614
15900.002356789431,0.71,0.832
16000.000396716388,0.798,0.812
16100.001774163045,0.944,0.766
16200.003482486418,0.686,0.598
16300.003948154503,0.77,0.782
16400.000182466978,0.748,0.682
16500.000570401244,0.932,0.664
16600.00212745246,0.742,0.782
16700.00380459123,0.73,0.69
16800.010123042477,0.724,0.626
16900.005922813896,0.776,0.81
17000.000010180327,0.768,0.746
17100.004754426776,0.726,0.822
17200.00165937918,0.836,0.72
17300.00149259217,0.908,0.712
17400.011967058912,0.604,0.528
17500.00168113608,0.76,0.926
17600.002312455326,0.584,0.662
17700.001641050418,0.904,0.888
17800.00196399674,0.76,0.662
17900.000095523726,0.666,0.578
18000.004360289222,0.598,0.602
18100.00818228396,0.728,0.59
18200.001661893926,0.78,0.604
18300.002335773293,0.862,0.742
18400.001483150543,0.768,0.736
18500.000407042935,0.71,0.722
18600.001889175892,0.722,0.78
18700.002829487752,0.73,0.622
18800.004888022857,0.89,0.932
18900.00029770577,0.694,0.532
19000.00159135124,0.634,0.428
19100.00266848288,0.736,0.684
19200.0018229013,0.826,0.828
19300.002813756837,0.678,0.746
19400.002134213566,0.806,0.652
19500.001478751543,0.774,0.546
19600.001838614648,0.72,0.644
19700.00184941618,0.736,0.742
19800.000267115138,0.812,0.796
19900.000479567356,0.806,0.758
20000.001461944372,0.8,0.59
20100.001096416963,0.876,0.722
20200.001957322995,0.674,0.716
20300.000636811972,0.75,0.534
20400.00931122085,0.76,0.358
20500.002527337387,0.564,0.472
20600.000062020426,0.814,0.714
20700.000517911834,0.75,0.764
20800.003018296517,0.732,0.73
20900.005487737268,0.878,0.65
21000.004655164597,0.856,0.81
21100.002061980656,0.82,0.45
21200.004715456573,0.816,0.836
21300.000954940362,0.696,0.636
21400.00319614238,0.792,0.658
21500.004619739702,0.768,0.768
21600.00234388518,0.782,0.778
21700.00154986444,0.682,0.852
21800.001105918585,0.812,0.664
21900.00164866158,0.746,0.738
22000.001771852825,0.762,0.586
22100.000038884642,0.73,0.578
22200.0024409571,0.68,0.578
22300.000351213486,0.74,0.554
22400.00262293699,0.71,0.494
22500.00319866987,0.806,0.534
